[2021-07-15 18:01:35,446][INFO][adduser_test.py]:进行注册动作
[2021-07-15 18:01:42,487][INFO][adduser_test.py]:进行注册动作
[2021-07-15 18:01:49,438][INFO][adduser_test.py]:进行注册动作
[2021-07-15 18:02:06,735][INFO][adduser_test.py]:进行注册动作
[2021-07-15 18:02:24,116][INFO][adduser_test.py]:进行注册动作
[2021-07-15 18:02:41,448][INFO][adduser_test.py]:进行注册动作
[2021-07-15 18:02:58,779][INFO][adduser_test.py]:进行注册动作
[2021-07-15 18:03:26,785][INFO][adduser_test.py]:进行注册动作
[2021-07-15 18:03:58,500][ERROR][adduser_test.py]:注册失败用例，第19条出错
[2021-07-15 18:04:05,469][INFO][adduser_test.py]:进行注册动作
[2021-07-15 18:04:37,216][ERROR][adduser_test.py]:注册失败用例，第20条出错
[2021-07-15 18:04:44,751][INFO][adduser_test.py]:进行注册动作
[2021-07-15 18:05:16,579][ERROR][adduser_test.py]:注册失败用例，第21条出错
[2021-07-15 18:05:23,583][INFO][adduser_test.py]:进行注册动作
[2021-07-15 18:05:51,546][INFO][adduser_test.py]:进行注册动作
[2021-07-15 18:06:23,289][ERROR][adduser_test.py]:注册失败用例，第23条出错
[2021-07-15 18:06:30,303][INFO][login_text.py]:进行登录动作
[2021-07-15 18:07:01,255][INFO][login_text.py]:进行登录动作
[2021-07-15 18:07:32,120][INFO][login_text.py]:进行登录动作
[2021-07-15 18:07:42,684][INFO][login_text.py]:进行登录动作
[2021-07-15 18:07:52,358][INFO][login_text.py]:进行登录动作
[2021-07-15 18:08:24,223][ERROR][login_text.py]:登录失败用例，第31条出错
[2021-07-15 18:08:34,117][INFO][login_text.py]:进行登录动作
[2021-07-15 18:09:05,901][ERROR][login_text.py]:登录失败用例，第31条出错
[2021-07-15 18:09:17,572][INFO][login_text.py]:进行登录动作
[2021-07-15 18:09:49,335][ERROR][login_text.py]:登录失败用例，第29条出错
[2021-07-15 18:10:01,142][INFO][login_text.py]:进行登录动作
[2021-07-15 18:10:22,328][ERROR][login_text.py]:登录失败用例，第30条出错
[2021-07-15 18:10:34,049][INFO][login_text.py]:进行登录动作
[2021-07-15 18:11:05,789][ERROR][login_text.py]:登录失败用例，第31条出错
[2021-07-15 18:11:17,666][INFO][login_text.py]:进行登录动作
[2021-07-15 18:11:27,464][INFO][login_text.py]:进行重置动作
[2021-07-15 18:11:37,252][INFO][login_text.py]:进行重置动作
[2021-07-15 18:11:57,518][INFO][login_text.py]:进行重置动作
[2021-07-15 18:12:17,824][INFO][login_text.py]:进行重置动作
[2021-07-15 18:12:38,126][INFO][login_text.py]:进行重置动作
[2021-07-15 18:12:58,505][INFO][login_text.py]:进行重置动作
[2021-07-15 18:13:29,521][INFO][login_text.py]:进行重置动作
[2021-07-15 18:14:01,248][ERROR][login_text.py]:第54条用例出错
[2021-07-15 18:14:11,254][INFO][login_text.py]:进行重置动作
[2021-07-15 18:14:43,013][ERROR][login_text.py]:第55条用例出错
[2021-07-15 18:14:52,965][INFO][login_text.py]:进行重置动作
[2021-07-15 18:15:24,710][ERROR][login_text.py]:第56条用例出错
[2021-07-15 18:15:34,671][INFO][login_text.py]:进行重置动作
[2021-07-15 18:16:05,739][INFO][login_text.py]:进行重置动作
[2021-07-15 18:16:37,556][ERROR][login_text.py]:第58条用例出错
[2021-07-15 18:16:47,518][INFO][page_test.py]:进行测试动作
